date;price;dix;gex
23/11/2011;1161790039;4,65279E+16;-2,52171E+12
25/11/2011;1158670044;4,7087E+16;-2,06204E+12
28/11/2011;1192550049;4,60612E+15;2,50687E+12
29/11/2011;1195189941;4,49603E+16;2,60319E+12
30/11/2011;1246959961;4,02893E+15;1,21995E+13
01/12/2011;1244579956;4,3885E+16;1,31009E+13
02/12/2011;1244280029;4,27454E+15;1,12201E+13
05/12/2011;1257079956;4,34155E+16;1,40754E+13
06/12/2011;1258469971;4,35047E+14;1,38513E+13
07/12/2011;126101001;4,41974E+16;1,40028E+13
08/12/2011;1234349976;4,75578E+15;9,27913E+12
09/12/2011;1255189941;4,40306E+16;1,45237E+13
12/12/2011;1236469971;4,95129E+15;1,022E+13
13/12/2011;122572998;4,58171E+16;7,07628E+12
14/12/2011;1211819946;4,39288E+15;1,82965E+12
15/12/2011;121575;4,27443E+16;1,81228E+12
16/12/2011;1219660034;4,55177E+14;8,09949E+12
19/12/2011;1205349976;4,49237E+15;5,4798E+12
20/12/2011;1241300049;4,05726E+16;1,24495E+13
21/12/2011;1243719971;4,28636E+16;1,4179E+13
22/12/2011;12540;4,31686E+16;1,6818E+13
23/12/2011;1265329956;4,29021E+16;1,66786E+13
27/12/2011;1265430054;4,35375E+15;1,82336E+13
28/12/2011;1249640015;4,54748E+16;1,42017E+13
29/12/2011;126302002;4,40781E+15;1,77065E+13
30/12/2011;1257599976;4,29171E+15;1,55584E+13
03/01/2012;1277060059;4,11853E+16;2,01394E+13
04/01/2012;1277300049;4,56286E+16;2,14948E+13
05/01/2012;1281060059;4,59538E+15;2,29112E+13
06/01/2012;1277810059;4,55722E+16;2,05034E+13
09/01/2012;1280699951;4,4314E+15;2,09957E+13
10/01/2012;1292079956;4,20541E+15;2,36563E+13
11/01/2012;129247998;4,44768E+16;2,32804E+13
12/01/2012;12955;4,5308E+16;2,40009E+13
13/01/2012;1289089966;4,57141E+16;2,24435E+13
17/01/2012;1293670044;4,22817E+16;2,4879E+13
18/01/2012;1308040039;4,37661E+15;2,78924E+13
19/01/2012;13145;4,41143E+15;3,0206E+13
20/01/2012;1315380005;4,3847E+15;5,35838E+13
23/01/2012;13160;4,24406E+16;1,36048E+13
24/01/2012;1314650024;4,27809E+15;1,32664E+13
25/01/2012;1326060059;4,16994E+15;2,07356E+13
26/01/2012;1318430054;4,22394E+15;1,84706E+13
27/01/2012;1316329956;4,31316E+15;1,57909E+13
30/01/2012;131301001;4,6547E+16;1,68594E+13
31/01/2012;1312410034;4,51847E+15;1,78859E+13
01/02/2012;1324089966;4,19721E+15;1,94269E+13
02/02/2012;1325540039;4,32155E+16;1,98829E+13
03/02/2012;1344900024;4,15764E+15;2,25678E+13
06/02/2012;1344329956;4,36427E+15;2,38009E+13
07/02/2012;1347050049;4,43992E+14;2,55574E+13
08/02/2012;1349959961;4,39762E+15;2,67663E+13
09/02/2012;1351949951;4,33545E+15;2,60667E+13
10/02/2012;1342640015;4,54488E+15;2,16603E+13
13/02/2012;135177002;4,35652E+16;2,3831E+13
14/02/2012;13505;4,36871E+15;2,37569E+13
15/02/2012;134322998;4,22881E+16;1,94633E+13
16/02/2012;1358040039;4,03361E+15;2,40321E+13
17/02/2012;136122998;4,13584E+15;3,96326E+13
21/02/2012;1362209961;4,22478E+15;1,83644E+13
