DATE;OPEN;HIGH;LOW;CLOSE
12/08/2000;23740000;23840000;22380000;22410000
12/11/2000;23800000;23990000;22810000;23510000
12/12/2000;24030000;25360000;23970000;24880000
12/13/2000;23690000;24320000;23300000;23630000
12/14/2000;23400000;25410000;23400000;24860000
12/15/2000;25430000;26870000;25430000;26550000
12/18/2000;26790000;27890000;26430000;27700000
12/19/2000;27350000;27540000;25410000;27170000
12/20/2000;29950000;32020000;29430000;31740000
12/21/2000;31970000;32320000;29220000;29660000
12/22/2000;28750000;28830000;27550000;27550000
12/26/2000;28470000;29130000;28370000;28730000
12/27/2000;28880000;28950000;27960000;28140000
12/28/2000;27990000;28060000;26530000;26570000
12/29/2000;26350000;26960000;26320000;26850000
01/02/2001;27930000;30400000;27920000;29990000
01/03/2001;29630000;29960000;25990000;26600000
01/04/2001;26350000;27190000;26130000;26970000
01/05/2001;27810000;29040000;27210000;28670000
01/08/2001;29980000;30800000;29720000;29840000
01/09/2001;29470000;29530000;27770000;27990000
01/10/2001;28440000;28470000;26700000;26800000
01/11/2001;26680000;26710000;25650000;25790000
01/12/2001;25310000;25480000;24500000;24560000
01/16/2001;25590000;25680000;24880000;25280000
01/17/2001;24400000;25220000;24280000;24930000
01/18/2001;24480000;24530000;23180000;23370000
01/19/2001;23620000;24080000;23000000;23240000
01/22/2001;24270000;24310000;23240000;23250000
01/23/2001;23000000;23150000;21470000;21570000
01/24/2001;21980000;22410000;21870000;22030000
01/25/2001;22440000;22860000;22270000;22640000
01/26/2001;22520000;23050000;22440000;22570000
01/29/2001;22800000;22960000;22560000;22610000
01/30/2001;23070000;23350000;22470000;22570000
01/31/2001;22940000;23020000;21980000;22020000
02/01/2001;22390000;22680000;21610000;21660000
02/02/2001;20870000;21950000;20810000;21950000
02/05/2001;22750000;23010000;22180000;22190000
02/06/2001;22040000;22120000;21420000;21980000
02/07/2001;21630000;22360000;21440000;21670000
02/08/2001;21460000;21610000;20920000;21460000
02/09/2001;21670000;22240000;21160000;22030000
02/12/2001;23060000;23130000;21830000;21920000
02/13/2001;21640000;21660000;21120000;21370000
02/14/2001;21840000;22520000;21520000;21520000
02/15/2001;21510000;21510000;20220000;20270000
02/16/2001;21650000;22730000;21430000;22120000
02/20/2001;23430000;24760000;23160000;24690000
02/21/2001;24810000;25810000;24240000;25750000
02/22/2001;25960000;28410000;25960000;26760000
02/23/2001;27180000;30620000;26940000;27210000
02/26/2001;27180000;27480000;25430000;25430000
02/27/2001;25570000;26590000;25020000;26490000
02/28/2001;26370000;28820000;26050000;28350000
03/01/2001;29660000;30260000;28080000;28080000
03/02/2001;29080000;29340000;26820000;27430000
03/05/2001;28320000;28430000;27080000;27120000
03/06/2001;26260000;26280000;25580000;25890000
03/07/2001;25280000;25530000;24120000;24120000
03/08/2001;24420000;24900000;24230000;24290000
03/09/2001;24470000;25760000;24460000;25620000
03/12/2001;27880000;30540000;27740000;30320000
03/13/2001;30770000;30840000;27550000;27550000
03/14/2001;30370000;30710000;28860000;29610000
03/15/2001;28530000;28980000;28250000;28560000
03/16/2001;28780000;29910000;28560000;29910000
03/19/2001;30610000;31330000;29500000;29780000
03/20/2001;30020000;31270000;29300000;30960000
03/21/2001;31410000;32180000;30260000;31930000
03/22/2001;32410000;35450000;32350000;32840000
03/23/2001;33000000;33000000;30410000;30450000
03/26/2001;30000000;30240000;29040000;29040000
03/27/2001;28520000;28630000;27030000;27040000
03/28/2001;28260000;28980000;28210000;28580000
03/29/2001;29270000;29840000;28160000;29170000
03/30/2001;28760000;29320000;28300000;28640000
04/02/2001;29400000;31610000;29160000;31210000
04/03/2001;32920000;35200000;32920000;34720000
04/04/2001;34280000;34740000;33210000;34070000
04/05/2001;32510000;32510000;29880000;29940000
04/06/2001;30390000;32040000;30220000;31690000
04/09/2001;31940000;32550000;31380000;31910000
04/10/2001;30670000;30690000;29330000;29440000
04/11/2001;28940000;29130000;28400000;28460000
04/12/2001;28090000;28370000;26120000;26120000
04/16/2001;26850000;27180000;26220000;26330000
04/17/2001;26040000;26220000;25330000;25610000
04/18/2001;24580000;24650000;23010000;24130000
04/19/2001;24510000;24620000;24120000;24160000
04/20/2001;24670000;25450000;24500000;25380000
04/23/2001;27350000;28600000;27280000;28160000
04/24/2001;27700000;28610000;27230000;28490000
04/25/2001;28640000;28680000;27250000;27400000
04/26/2001;26410000;26410000;25620000;25960000
04/27/2001;25000000;25000000;24020000;24020000
04/30/2001;24210000;25740000;23900000;25480000
05/01/2001;25460000;25570000;24160000;24200000
05/02/2001;24600000;25040000;23970000;24230000
05/03/2001;25520000;26320000;25430000;25780000
05/04/2001;26490000;26490000;23880000;23910000
05/07/2001;25100000;25460000;24530000;24860000
05/08/2001;24490000;25350000;24440000;24440000
05/09/2001;24940000;25060000;24270000;24350000
05/10/2001;23690000;24670000;23550000;24000000
05/11/2001;23140000;23860000;23140000;23540000
05/14/2001;24230000;24500000;24060000;24260000
05/15/2001;24410000;24500000;23340000;23710000
05/16/2001;23170000;23220000;21170000;21890000
05/17/2001;22500000;22740000;21320000;21470000
05/18/2001;21460000;21710000;21170000;21230000
05/21/2001;21900000;21960000;20740000;20760000
05/22/2001;21530000;21560000;21090000;21350000
05/23/2001;21600000;22150000;21580000;22080000
05/24/2001;21850000;21890000;20550000;20570000
05/25/2001;20600000;21130000;20460000;20600000
05/29/2001;22160000;22370000;21930000;22140000
05/30/2001;22400000;23160000;22250000;22760000
05/31/2001;22960000;23160000;22330000;22640000
06/01/2001;23020000;23120000;21520000;21590000
06/04/2001;21640000;22070000;21330000;21380000
06/05/2001;20800000;20920000;19470000;19580000
06/06/2001;20090000;20640000;19930000;20390000
06/07/2001;20350000;20390000;19670000;19670000
06/08/2001;19620000;20440000;19580000;19920000
06/11/2001;20620000;21090000;20370000;20700000
06/12/2001;21210000;21680000;20430000;20700000
06/13/2001;20790000;21600000;20700000;21450000
06/14/2001;22130000;23120000;22120000;23120000
06/15/2001;23980000;24420000;22440000;22810000
06/18/2001;23260000;23540000;22930000;23170000
06/19/2001;22400000;22820000;21930000;22340000
06/20/2001;22050000;22290000;21600000;21710000
06/21/2001;21310000;21360000;19340000;19380000
06/22/2001;19820000;20200000;19590000;20020000
06/25/2001;20360000;20890000;20250000;20670000
06/26/2001;21450000;21650000;20750000;21200000
06/27/2001;21550000;21840000;20540000;20880000
06/28/2001;20180000;20180000;19520000;20010000
06/29/2001;19900000;19900000;18830000;19060000
07/02/2001;19750000;19750000;18740000;18760000
07/03/2001;19210000;19370000;18920000;18920000
07/05/2001;20140000;20390000;19700000;20090000
07/06/2001;20960000;21900000;20960000;21630000
07/09/2001;22710000;22960000;22300000;22480000
07/10/2001;22280000;23260000;22280000;23250000
07/11/2001;24170000;24910000;23590000;24010000
07/12/2001;23290000;23290000;22090000;22090000
07/13/2001;22030000;22120000;21020000;21140000
07/16/2001;21690000;22910000;21580000;22910000
07/17/2001;23540000;23600000;22460000;22610000
07/18/2001;23190000;23840000;23070000;23600000
07/19/2001;22580000;23070000;21840000;22510000
07/20/2001;22670000;23010000;22190000;22340000
07/23/2001;22640000;23870000;22510000;23740000
07/24/2001;24200000;25610000;24160000;25240000
07/25/2001;24920000;25230000;23920000;24000000
07/26/2001;24020000;24230000;22980000;23010000
07/27/2001;23020000;23130000;21930000;22000000
07/30/2001;22480000;23030000;22480000;22690000
07/31/2001;22310000;22450000;20790000;21620000
08/01/2001;20970000;20990000;20130000;20560000
08/02/2001;20330000;20480000;19690000;20090000
08/03/2001;20230000;21030000;19830000;19890000
08/06/2001;21070000;22260000;20880000;21890000
08/07/2001;21430000;21510000;20730000;21010000
08/08/2001;21520000;22570000;20720000;22320000
08/09/2001;22020000;22430000;21640000;21750000
08/10/2001;20560000;21530000;20370000;20550000
08/13/2001;20580000;20690000;20240000;20420000
08/14/2001;19950000;20540000;19930000;20480000
08/15/2001;20140000;20910000;19840000;20910000
08/16/2001;21260000;22150000;21060000;21540000
08/17/2001;21940000;24240000;21910000;23840000
08/20/2001;24830000;24850000;22870000;22870000
08/21/2001;22550000;24510000;21630000;24400000
08/22/2001;22710000;23280000;22340000;22440000
08/23/2001;22050000;22360000;21850000;22230000
08/24/2001;21300000;21310000;19700000;19710000
08/27/2001;20500000;20850000;20130000;20560000
08/28/2001;20900000;22120000;20900000;22000000
08/29/2001;21850000;23260000;21840000;23030000
08/30/2001;23160000;25840000;23160000;25410000
08/31/2001;25310000;25470000;24410000;24920000
09/04/2001;26110000;26170000;24190000;25850000
09/05/2001;26220000;27370000;26220000;26350000
09/06/2001;27230000;28730000;27230000;28610000
09/07/2001;29890000;31300000;28920000;30990000
09/10/2001;33110000;33340000;31840000;31840000
09/17/2001;43200000;44330000;39770000;41760000
09/18/2001;41070000;42170000;38870000;38870000
09/19/2001;37880000;44260000;37500000;40560000
09/20/2001;41400000;43760000;41170000;43740000
09/21/2001;48930000;49350000;42660000;42660000
09/24/2001;41320000;41490000;37200000;37750000
09/25/2001;37060000;37260000;35810000;35810000
09/26/2001;35000000;35740000;34490000;35260000
09/27/2001;35450000;36110000;33990000;34000000
09/28/2001;33080000;33080000;31740000;31930000
10/01/2001;33420000;34080000;32290000;32320000
10/02/2001;32410000;32640000;31160000;31180000
10/03/2001;32400000;32470000;31150000;31340000
10/04/2001;31370000;32160000;30310000;31970000
10/05/2001;32680000;34390000;32640000;33390000
10/08/2001;35660000;36180000;34840000;35120000
10/09/2001;35250000;35530000;34480000;34830000
10/10/2001;34170000;34170000;31340000;31600000
10/11/2001;30930000;32160000;30830000;31500000
10/12/2001;32480000;36560000;32270000;35270000
10/15/2001;36750000;36950000;35240000;35310000
10/16/2001;34810000;35320000;32850000;32880000
10/17/2001;32440000;35090000;32440000;35080000
10/18/2001;35420000;35610000;34850000;34950000
10/19/2001;34760000;35460000;33890000;34110000
10/22/2001;34470000;34660000;32170000;32250000
10/23/2001;32240000;32460000;31300000;32000000
10/24/2001;31740000;31840000;30800000;30950000
10/25/2001;32400000;32920000;29450000;29460000
10/26/2001;30020000;30020000;28110000;28420000
10/29/2001;30430000;31670000;30310000;31640000
10/30/2001;33240000;34770000;33000000;33460000
10/31/2001;33120000;33590000;32270000;33560000
11/01/2001;33970000;34570000;32000000;32310000
11/02/2001;32450000;32670000;30460000;30710000
11/05/2001;31140000;31210000;30230000;30500000
11/06/2001;30640000;31190000;28720000;28800000
11/07/2001;29410000;29540000;28110000;29130000
11/08/2001;28510000;28880000;27430000;28620000
11/09/2001;28990000;29050000;27340000;27440000
11/12/2001;31940000;31940000;29040000;29350000
11/13/2001;27950000;28020000;26340000;26470000
11/14/2001;26270000;27040000;26260000;26560000
11/15/2001;26330000;26460000;25530000;25560000
11/16/2001;25760000;25950000;25030000;25070000
11/19/2001;25430000;25430000;24460000;24460000
11/20/2001;24350000;24480000;23500000;24120000
11/21/2001;23860000;24420000;23840000;24190000
11/23/2001;23930000;23940000;23000000;23250000
11/26/2001;24220000;24740000;23750000;23790000
11/27/2001;23600000;24560000;22960000;24000000
11/28/2001;24570000;25910000;24290000;25900000
11/29/2001;26160000;26460000;25140000;25180000
11/30/2001;25050000;25300000;23600000;23840000
12/03/2001;25920000;26380000;25520000;25770000
12/04/2001;25410000;25750000;24080000;24080000
12/05/2001;23150000;23150000;22580000;23020000
12/06/2001;23500000;24140000;23350000;23710000
12/07/2001;23760000;23850000;23180000;23490000
12/10/2001;24970000;25870000;24580000;25620000
12/11/2001;25250000;25580000;24220000;25300000
12/12/2001;25000000;25910000;24660000;24870000
12/13/2001;25480000;25930000;25030000;25910000
12/14/2001;25280000;25530000;24230000;24630000
12/17/2001;25020000;25060000;23960000;24260000
12/18/2001;23430000;23710000;23190000;23290000
12/19/2001;23340000;23340000;22260000;22580000
12/20/2001;22560000;23690000;22480000;23670000
12/21/2001;23130000;23280000;22380000;22500000
12/24/2001;23060000;23110000;22620000;22620000
12/26/2001;22360000;22420000;22010000;22290000
12/27/2001;22010000;22010000;21590000;21590000
12/28/2001;21400000;21590000;21120000;21400000
12/31/2001;22500000;23800000;22460000;23800000
01/02/2002;23780000;24200000;22710000;22710000
01/03/2002;22220000;22430000;21330000;21340000
01/04/2002;20970000;21530000;20400000;20450000
01/07/2002;21410000;22150000;21350000;21940000
01/08/2002;21630000;22290000;21280000;21830000
01/09/2002;21300000;22420000;20660000;22130000
01/10/2002;22280000;22780000;21780000;22360000
01/11/2002;22290000;22840000;21920000;22600000
01/14/2002;23940000;24040000;23240000;23580000
01/15/2002;23390000;23740000;22580000;22700000
01/16/2002;23420000;23600000;22870000;23450000
01/17/2002;23340000;23550000;22130000;22250000
01/18/2002;22970000;23070000;22220000;22520000
01/22/2002;22930000;23830000;22760000;23610000
01/23/2002;23350000;23540000;21680000;21880000
01/24/2002;21190000;21340000;20740000;21150000
01/25/2002;21360000;21570000;20740000;21010000
01/28/2002;21240000;21880000;21110000;21140000
01/29/2002;20920000;24990000;20690000;24350000
01/30/2002;24580000;26880000;23220000;23220000
01/31/2002;22450000;22700000;21090000;21090000
02/01/2002;21120000;21430000;20950000;21120000
02/04/2002;22770000;25150000;22690000;24870000
02/05/2002;25260000;26190000;24510000;25450000
02/06/2002;25530000;27320000;25340000;26090000
02/07/2002;25990000;26540000;24240000;25110000
02/08/2002;24560000;24670000;23070000;23260000
02/11/2002;24040000;24040000;21780000;21780000
02/12/2002;22300000;22440000;21440000;21620000
02/13/2002;20920000;21170000;20550000;20850000
02/14/2002;21920000;21920000;21320000;21770000
02/15/2002;21980000;22790000;21540000;22370000
02/19/2002;23920000;24590000;23830000;24430000
02/20/2002;23780000;24940000;22620000;22660000
02/21/2002;22590000;23960000;21900000;23800000
02/22/2002;24040000;24440000;22750000;22860000
02/25/2002;23090000;23110000;21420000;21840000
02/26/2002;21360000;22250000;21350000;21680000
02/27/2002;21180000;22420000;20820000;21490000
02/28/2002;21120000;21590000;20710000;21590000
03/01/2002;21060000;21060000;19880000;19960000
03/04/2002;20690000;20950000;20350000;20500000
